promo_code,promo_type,discount_pct,start_date,end_date,channel
IMD001,ลดเป็นบาท,15,2024-11-26,2025-01-01,โซเชียล
IMD002,ส่งฟรี,10,2024-09-09,2024-10-09,อีเมล
IMD003,ส่งฟรี,15,2024-09-11,2024-09-20,อีเมล
IMD004,ลดเป็นเปอร์เซ็นต์,20,2025-03-14,2025-03-21,อีเมล
IMD005,ลดเป็นเปอร์เซ็นต์,15,2025-03-29,2025-05-03,แอป
IMD006,ลดเป็นเปอร์เซ็นต์,10,2024-10-28,2024-12-04,อีเมล
IMD007,ลูกค้าใหม่,20,2024-10-11,2024-10-27,แอป
IMD008,ส่งฟรี,10,2024-12-11,2025-01-22,โซเชียล
IMD009,ลดเป็นเปอร์เซ็นต์,20,2024-09-11,2024-10-01,แอป
IMD010,ลดเป็นบาท,25,2025-01-29,2025-03-09,โซเชียล
IMD011,ลดเป็นบาท,10,2024-11-27,2024-12-27,แอป
IMD012,ลดเป็นบาท,10,2025-02-26,2025-04-04,แอป
IMD013,ลูกค้าใหม่,10,2025-05-13,2025-06-25,แอป
IMD014,ส่งฟรี,20,2025-05-13,2025-06-10,SMS
IMD015,ลดเป็นบาท,25,2024-12-09,2025-01-11,แอป
IMD016,ลดเป็นเปอร์เซ็นต์,20,2025-04-20,2025-04-29,แอป
IMD017,ส่งฟรี,25,2024-09-05,2024-09-29,แอป
IMD018,ลูกค้าใหม่,20,2025-05-16,2025-06-19,อีเมล
IMD019,ส่งฟรี,10,2024-12-09,2024-12-21,แอป
IMD020,ลดเป็นเปอร์เซ็นต์,25,2025-04-27,2025-05-21,อีเมล
IMD021,ลดเป็นเปอร์เซ็นต์,20,2025-02-05,2025-03-03,SMS
IMD022,ลดเป็นเปอร์เซ็นต์,20,2025-01-19,2025-02-04,แอป
IMD023,ส่งฟรี,10,2025-05-17,2025-06-17,แอป
IMD024,ลูกค้าใหม่,25,2024-08-24,2024-09-01,อีเมล
IMD025,ลดเป็นเปอร์เซ็นต์,10,2024-09-30,2024-10-09,โซเชียล
IMD026,ลดเป็นเปอร์เซ็นต์,30,2024-10-05,2024-11-04,แอป
IMD027,ส่งฟรี,25,2024-11-07,2024-11-20,อีเมล
IMD028,ลดเป็นเปอร์เซ็นต์,10,2024-09-24,2024-11-06,แอป
IMD029,ส่งฟรี,10,2024-09-29,2024-10-29,แอป
IMD030,ส่งฟรี,15,2024-08-04,2024-09-07,แอป
IMD031,ส่งฟรี,20,2025-04-17,2025-05-09,แอป
IMD032,ลดเป็นบาท,30,2024-12-20,2025-01-08,แอป
IMD033,ลดเป็นบาท,10,2025-06-04,2025-07-02,SMS
IMD034,ลดเป็นบาท,15,2024-11-06,2024-12-16,แอป
IMD035,ส่งฟรี,15,2024-11-24,2024-12-17,โซเชียล
IMD036,ลดเป็นเปอร์เซ็นต์,10,2025-02-01,2025-03-03,อีเมล
IMD037,ลดเป็นเปอร์เซ็นต์,15,2025-01-17,2025-01-30,แอป
IMD038,ลูกค้าใหม่,25,2025-02-12,2025-03-10,แอป
IMD039,ลดเป็นเปอร์เซ็นต์,20,2024-11-29,2025-01-01,อีเมล
IMD040,ลูกค้าใหม่,20,2024-12-05,2025-01-11,แอป
IMD041,ลูกค้าใหม่,20,2025-06-03,2025-06-25,แอป
IMD042,ลดเป็นเปอร์เซ็นต์,20,2024-12-12,2025-01-03,แอป
IMD043,ลูกค้าใหม่,20,2024-09-26,2024-10-19,แอป
IMD044,ลูกค้าใหม่,20,2024-11-08,2024-11-19,SMS
IMD045,ลดเป็นบาท,15,2024-10-22,2024-11-30,อีเมล
IMD046,ส่งฟรี,15,2024-09-23,2024-10-21,อีเมล
IMD047,ลูกค้าใหม่,20,2025-05-10,2025-05-17,SMS
IMD048,ลดเป็นเปอร์เซ็นต์,15,2024-11-17,2024-11-30,แอป
IMD049,ลดเป็นเปอร์เซ็นต์,10,2024-12-13,2025-01-15,อีเมล
IMD050,ลูกค้าใหม่,30,2024-09-22,2024-10-02,แอป
IMD051,ส่งฟรี,10,2024-12-30,2025-01-19,โซเชียล
IMD052,ลดเป็นเปอร์เซ็นต์,15,2025-02-28,2025-03-24,อีเมล
IMD053,ลดเป็นเปอร์เซ็นต์,10,2024-12-28,2025-01-08,แอป
IMD054,ลดเป็นบาท,10,2024-11-11,2024-11-23,SMS
IMD055,ลดเป็นบาท,15,2025-05-26,2025-06-07,แอป
IMD056,ส่งฟรี,20,2024-12-05,2024-12-26,อีเมล
IMD057,ลูกค้าใหม่,15,2024-11-05,2024-11-13,อีเมล
IMD058,ส่งฟรี,15,2025-03-27,2025-05-04,แอป
IMD059,ส่งฟรี,20,2025-03-16,2025-04-08,อีเมล
IMD060,ส่งฟรี,20,2025-02-24,2025-04-01,อีเมล
